[emotion];[number];[valence];[arousal];[prob. anger];[prob. disgust];[prob. fear];[prob. joy];[prob. sadness];[prob. surprise];[prob. neutral]
joy;56;7;5.8;0;0;0;0.67;0;0.27;0.07
sadness;56;3.2;3.8;0;0.066667;0.4;0;0.53;0;0
surprise;56;6.1;5.8;0;0.066667;0;0.67;0;0.13;0.13
surprise;57;5.5;5.9;0;0.033333;0;0.13;0.17;0.33;0.33
disgust;57;3.1;4.5;0.07;0.355556;0.29;0;0.07;0.09;0.13
joy;57;7.6;6;0;0.066667;0;0.57;0;0.27;0.1
sadness;57;3.2;3.9;0.02;0.022222;0.07;0;0.89;0;0
fear;57;5.6;5;0;0;0;0.13;0.13;0.23;0.5
anger;57;4.8;4.9;0.07;0;0.23;0.03;0.1;0.3;0.27
surprise;58;5.6;4.4;0.08;0.016667;0.05;0.64;0;0.16;0.04
sadness;58;2.3;3.7;0;0.066667;0.1;0.07;0.67;0;0.1
disgust;58;5.9;4.2;0;0.2;0;0.17;0;0.23;0.4
anger;58;5.3;4.1;0.03;0;0.07;0.22;0.19;0.03;0.46
disgust;59;3.3;4.4;0.03;0.566667;0.13;0;0.07;0;0.2
fear;58;4.6;3.9;0.13;0.1;0.23;0.07;0;0.13;0.33
fear;59;3.2;4.3;0.03;0.233333;0.1;0;0.3;0.13;0.2
joy;58;7.6;4;0;0;0;0.89;0;0.09;0.02
anger;59;4.3;4.3;0;0;0.2;0.17;0.27;0.07;0.3
joy;59;7.1;5.1;0;0;0;0.57;0.07;0.07;0.3
fear;60;5.3;3.7;0;0;0;0.27;0.23;0.17;0.33
anger;60;3.7;3.9;0.02;0.1;0.26;0.13;0.1;0.16;0.23
joy;60;6.6;4.7;0;0;0.07;0.5;0;0.27;0.17
sadness;59;3;4;0.03;0;0.27;0;0.57;0.13;0
disgust;60;2.1;4.1;0;0.466667;0.17;0.07;0.13;0.17;0
sadness;60;6.8;5;0;0.066667;0;0.32;0.07;0.32;0.22
surprise;59;6.5;6.3;0;0;0;0.5;0.07;0.37;0.07
surprise;60;7.3;5.5;0;0;0.07;0.57;0;0.23;0.13
joy;61;7.5;5.6;0;0;0;0.82;0;0.16;0.02
anger;61;5.9;5.3;0.07;0.133333;0.03;0.2;0.1;0.07;0.4
fear;61;4.2;5.5;0;0.166667;0.33;0.07;0.07;0.17;0.2
disgust;61;4.5;4.3;0.07;0.266667;0.13;0;0;0.13;0.4
sadness;61;5.3;4.7;0;0.066667;0;0.2;0.37;0.07;0.3
anger;62;5.5;6.5;0.02;0;0.46;0.1;0.12;0.27;0.03
surprise;61;6.8;4.7;0;0.033333;0.07;0.48;0.02;0.29;0.11
disgust;62;2.7;5.4;0;0.366667;0.2;0.07;0.07;0.07;0.23
fear;62;3;6.5;0.07;0;0.63;0;0.07;0.07;0.17
sadness;62;3.7;5.1;0.09;0.066667;0;0.22;0.59;0;0.03
disgust;63;3.8;4.4;0.07;0.066667;0.17;0.03;0.33;0;0.33
fear;63;3.9;5.2;0.37;0;0.4;0;0.07;0.17;0
joy;62;7.4;6.2;0;0;0.07;0.73;0.07;0.1;0.03
surprise;62;6.6;5.3;0.07;0.066667;0;0.39;0.07;0.32;0.09
anger;63;6.8;7.8;0.02;0.066667;0.22;0.5;0;0.12;0.07
sadness;63;3.9;4.3;0.03;0.133333;0;0.13;0.57;0.07;0.07
joy;63;7.5;6.8;0;0;0;0.67;0;0.13;0.2
surprise;63;5.2;5;0;0;0.13;0.23;0;0.3;0.33
joy;64;7.5;6.5;0;0;0;0.63;0;0.33;0.03
surprise;64;5.7;6.1;0;0;0;0.43;0.13;0.27;0.17
fear;64;4.7;3.9;0;0.133333;0.2;0.23;0.13;0.1;0.2
sadness;64;2.4;3;0.02;0;0.09;0;0.89;0;0
anger;64;6.9;5.6;0;0.066667;0.1;0.5;0;0.03;0.3
disgust;64;4.2;4.2;0;0.366667;0.03;0.2;0.07;0.03;0.3
disgust;65;2.3;4.4;0;0.422222;0.19;0;0.32;0;0.07
anger;65;5;4.6;0;0.066667;0.22;0.36;0.16;0.1;0.1
fear;65;2.1;4.6;0.1;0.1;0.57;0.03;0;0.17;0.03
joy;65;6.6;5.4;0;0.033333;0.03;0.69;0;0.09;0.16
sadness;65;4.4;4.8;0.07;0.1;0.03;0.07;0.3;0;0.43
sadness;66;3.4;4.5;0;0.155556;0;0;0.76;0;0.09
anger;66;3.9;4.5;0.09;0.088889;0.4;0;0.32;0.03;0.07
joy;66;6.9;5.7;0;0;0;0.53;0;0.37;0.1
disgust;66;2.4;4.1;0.07;0.7;0.17;0;0.07;0;0
fear;66;4.1;5.3;0.02;0.355556;0.53;0;0.02;0;0.07
surprise;65;6;4.7;0;0.066667;0.09;0.47;0;0.29;0.09
surprise;66;6.8;6.5;0.17;0;0.1;0.46;0;0.26;0.02
fear;67;5;4.8;0.02;0.2;0.32;0.07;0;0;0.39
anger;67;6.5;5.7;0.07;0;0.27;0.27;0;0.1;0.3
disgust;67;3.2;4.1;0.02;0.333333;0.06;0;0.12;0;0.47
disgust;68;4.3;4.4;0.02;0.35;0.25;0;0.1;0.08;0.2
joy;67;7.5;5.5;0;0.066667;0.03;0.6;0;0.2;0.1
sadness;67;6;5.5;0;0;0.07;0.33;0.13;0.1;0.37
anger;68;6.3;6.2;0.07;0;0;0.3;0.03;0.17;0.43
surprise;67;6.8;5.4;0;0;0.03;0.33;0.17;0.2;0.27
fear;68;4.4;4.3;0.07;0.133333;0.2;0.03;0;0.1;0.47
surprise;68;7.3;5.6;0;0;0;0.56;0;0.26;0.19
joy;68;7.2;6.3;0;0;0;0.66;0.07;0.12;0.16
disgust;69;5.7;5.7;0.13;0.133333;0.16;0.07;0.02;0.29;0.2
sadness;68;3.9;4.7;0.02;0.166667;0.31;0.07;0.37;0;0.07
surprise;69;7;5.8;0;0;0;0.6;0;0.2;0.2
fear;69;4.2;4.9;0.03;0.244444;0.06;0.22;0.02;0.22;0.2
sadness;69;4.4;5.3;0;0.066667;0.03;0.13;0.27;0.03;0.47
joy;69;7.2;5.5;0;0;0;0.53;0;0.23;0.23
anger;69;5.5;7.2;0.02;0;0.33;0.16;0.11;0.21;0.17
anger;70;6.2;6.5;0.13;0;0.07;0.36;0;0.16;0.29
joy;70;5;5.3;0;0.033333;0.16;0.32;0.09;0.13;0.27
disgust;70;1.9;5.3;0.09;0.405556;0.18;0;0.21;0.02;0.1
sadness;70;2.8;4;0.03;0.077778;0.13;0.03;0.63;0;0.09
disgust;71;4.3;4.6;0.07;0.466667;0;0;0.13;0;0.33
surprise;70;6.7;5.6;0;0;0;0.36;0;0.39;0.26
fear;70;5.6;5.2;0.1;0.055556;0.22;0.09;0;0.24;0.29
anger;71;5.8;4.9;0;0.022222;0.12;0.17;0.09;0.21;0.39
fear;71;5.7;5.1;0;0.1;0.2;0.39;0.03;0.12;0.16
sadness;71;6.3;5.5;0;0;0;0.36;0.19;0.19;0.27
surprise;71;6.3;3.5;0;0.033333;0;0.47;0;0.2;0.3
anger;72;3.2;5.2;0.33;0.3;0.1;0;0.07;0;0.2
surprise;72;3.7;5.6;0.07;0.083333;0.24;0.17;0.24;0.02;0.19
disgust;72;4.6;5.2;0;0.266667;0.07;0.27;0;0;0.4
joy;71;7;6.1;0;0;0;0.83;0;0.1;0.07
fear;72;3.7;5;0.03;0.166667;0.33;0.2;0.07;0;0.2
joy;72;6.8;4.9;0;0;0;0.63;0;0.2;0.17
sadness;72;3.9;4.8;0;0.133333;0;0.07;0.6;0;0.2
anger;73;5.9;4.7;0;0.133333;0.07;0.17;0.2;0.23;0.2
disgust;73;2.8;4.2;0.07;0.7;0.07;0;0.1;0;0.07
fear;73;4.6;4.4;0;0.066667;0.17;0.1;0.17;0.1;0.4
disgust;74;3.4;3.9;0.09;0.422222;0.16;0.03;0.07;0.1;0.13
surprise;73;6.8;5.7;0;0;0.07;0.4;0;0.2;0.33
fear;74;3.6;5;0.02;0.088889;0.63;0.1;0.06;0.03;0.07
anger;74;3.4;3.8;0.07;0.383333;0.11;0;0.24;0;0.2
joy;73;6.2;4.6;0;0.133333;0;0.5;0;0.1;0.27
sadness;73;3.6;4.3;0.02;0.022222;0;0.1;0.72;0;0.13
fear;75;6.4;5.9;0;0;0.03;0.25;0.18;0.18;0.35
sadness;74;5.9;6.2;0;0;0;0.19;0.32;0.13;0.36
joy;74;7.2;7.2;0.08;0.013333;0;0.34;0.2;0.26;0.11
disgust;75;1.9;4.2;0.04;0.538889;0.24;0;0.02;0.07;0.1
sadness;75;4.6;5.4;0.07;0.033333;0.07;0.03;0.2;0.37;0.23
anger;75;3.1;4.6;0;0.155556;0.26;0.07;0.26;0.07;0.2
surprise;74;6.9;6;0.07;0.033333;0;0.37;0;0.43;0.1
joy;75;7.8;7.4;0;0;0;0.67;0;0.27;0.07
surprise;75;6.4;6.5;0;0.133333;0;0.39;0.07;0.22;0.19
surprise;76;6.8;4.5;0;0;0;0.47;0.07;0.33;0.13
fear;76;3.4;5;0.08;0.35;0.37;0.02;0;0.05;0.13
sadness;76;5.2;4.8;0;0;0.07;0.07;0.7;0;0.17
anger;76;3.3;6;0.36;0.066667;0.36;0;0.09;0.07;0.07
disgust;76;3.9;5.5;0.07;0.4;0.2;0;0.07;0.07;0.2
anger;77;5;5.4;0.09;0.133333;0.29;0;0.09;0.13;0.27
disgust;77;5;5.2;0;0;0.07;0;0;0;0.93
fear;77;3.5;6;0.33;0;0.57;0;0;0.03;0.07
joy;76;6.7;6.2;0;0;0;0.5;0;0.3;0.2
surprise;77;6.1;3.9;0;0;0;0.17;0.33;0.17;0.33
sadness;77;5.1;4.1;0;0.066667;0.2;0.2;0.13;0.17;0.23
joy;77;7.2;3.9;0;0.066667;0;0.43;0;0.27;0.23
joy;78;8;4.9;0;0;0;0.5;0;0.17;0.33
sadness;78;6;4.4;0;0;0;0.17;0.47;0.2;0.17
surprise;78;5.1;6.8;0.17;0.066667;0.33;0.1;0;0.23;0.1
disgust;78;2.6;4.8;0;0.433333;0.23;0.07;0.03;0.17;0.07
anger;78;2.6;4.3;0.1;0.533333;0.17;0;0.07;0.07;0.07
fear;78;4;5.2;0;0.066667;0.33;0.07;0.23;0;0.3
joy;79;6.6;3.6;0;0;0.33;0.32;0.09;0.12;0.13
fear;79;4.3;5.5;0;0.233333;0.07;0.13;0.27;0;0.3
sadness;79;2.8;5.1;0;0.122222;0.32;0;0.42;0;0.13
fear;80;3.8;4.8;0;0.216667;0.08;0;0.28;0.08;0.33
anger;79;6.8;4.6;0;0;0.2;0.3;0.07;0.3;0.13
surprise;79;4.5;5.3;0.07;0.1;0.2;0.23;0.07;0.2;0.13
anger;80;3.3;4.2;0;0.133333;0;0;0.73;0;0.13
disgust;79;2.1;5.5;0;0.5;0.33;0.13;0.03;0;0
disgust;80;2.2;5.3;0.03;0.3;0.63;0;0;0.03;0
disgust;81;4.9;5.2;0;0.066667;0;0.13;0;0.17;0.63
joy;80;7;3.4;0;0;0;0.59;0.03;0.16;0.22
surprise;80;6.1;4.8;0.03;0;0.23;0.19;0.02;0.2;0.32
anger;81;6.7;6.5;0;0;0.27;0.24;0.07;0.27;0.16
sadness;80;5.8;5;0;0.083333;0.12;0.09;0.08;0.14;0.49
fear;81;5.6;5.5;0.03;0;0.1;0.07;0.13;0.2;0.47
sadness;81;4.1;5.3;0.04;0;0.09;0.02;0.78;0;0.07
surprise;81;6.6;4.6;0;0;0.03;0.37;0.1;0.1;0.4
joy;81;6.7;5.1;0;0;0;0.69;0;0.09;0.22
surprise;82;6;4.9;0;0;0;0.7;0.07;0.13;0.1
disgust;82;1.3;5.9;0.03;0.6;0.3;0;0.07;0;0
sadness;82;3.7;4.3;0;0.033333;0.1;0;0.87;0;0
anger;82;3.6;4.9;0.03;0.266667;0.53;0.1;0;0.07;0
joy;82;7.1;4.8;0;0;0.07;0.87;0;0.07;0
fear;82;5.7;4.6;0;0.066667;0.13;0.5;0.1;0.07;0.13
fear;83;3.5;5;0.13;0.066667;0.27;0;0.53;0;0
anger;83;2.5;4.9;0.12;0.322222;0.49;0;0.07;0;0
disgust;83;2.1;4.9;0.1;0.7;0.2;0;0;0;0
anger;84;3.2;5.5;0.44;0.144444;0.23;0;0.14;0.03;0
joy;83;7.1;5.2;0;0;0;0.73;0;0.2;0.07
sadness;83;3.5;5.2;0;0.1;0.03;0;0.87;0;0
surprise;83;6.5;4.5;0;0.066667;0;0.5;0;0.13;0.3
surprise;84;6.4;5.3;0;0;0.07;0.4;0.2;0.17;0.17
sadness;84;6.7;4.7;0;0;0;0.63;0.07;0.2;0.1
joy;84;6.9;5.6;0;0;0;0.7;0;0.2;0.1
disgust;84;1.5;5;0.26;0.688889;0;0;0.06;0;0
fear;84;3.4;5.1;0.03;0.066667;0.2;0;0.63;0;0.07
anger;85;6.6;5.4;0.07;0;0.1;0.17;0.17;0.37;0.13
joy;85;7.8;4.6;0.03;0.033333;0.07;0.7;0;0.1;0.07
sadness;85;2.3;4;0.07;0.288889;0.09;0;0.42;0.07;0.07
fear;85;1.8;5.8;0.16;0.166667;0.56;0;0.02;0.03;0.07
surprise;85;7.9;5.5;0;0.033333;0.1;0.57;0;0.23;0.07
disgust;85;5.1;4.8;0;0.033333;0.03;0;0;0.07;0.87
fear;86;4.5;5.4;0;0.066667;0.53;0;0.1;0.03;0.27
anger;86;4.9;5.8;0.09;0.055556;0.33;0.07;0.02;0.07;0.37
disgust;86;2.2;4.4;0.07;0.388889;0.09;0;0.26;0;0.2
sadness;86;5.4;5;0;0;0.13;0.2;0;0.1;0.57
anger;87;4.9;5.3;0.1;0;0.37;0.26;0.12;0;0.16
joy;86;7.9;4.5;0;0;0;0.79;0;0.12;0.09
surprise;86;7.5;5.1;0;0;0;0.6;0;0.3;0.1
disgust;87;2.8;5.5;0;0.555556;0.17;0.07;0.12;0.02;0.07
fear;87;4.6;5.2;0.1;0;0.3;0.03;0.17;0.23;0.17
joy;87;7.8;4.1;0;0;0;0.67;0.03;0.2;0.1
sadness;87;2.7;3.1;0;0.033333;0.07;0;0.83;0;0.07
surprise;87;7.2;4.8;0;0;0;0.63;0;0.2;0.17
surprise;88;7.8;6.9;0;0;0;0.47;0;0.43;0.1
fear;88;5.5;5;0;0;0.1;0.07;0.13;0.13;0.57
sadness;88;5.5;5.5;0.02;0;0.02;0.07;0.66;0.07;0.17
anger;88;5.7;6.1;0.08;0;0.22;0.17;0.02;0.23;0.28
anger;89;2.8;5.7;0.24;0.138889;0.24;0;0.18;0.07;0.13
joy;88;7.5;6.3;0;0;0;0.43;0;0.2;0.37
disgust;88;6.4;6.3;0;0.266667;0;0.27;0;0.07;0.4
disgust;89;3.7;4.6;0;0.466667;0;0.1;0;0;0.43
fear;89;6.7;5.6;0.02;0;0;0.33;0.16;0.07;0.42
anger;90;5.9;6.5;0;0;0.56;0.09;0;0.32;0.03
surprise;89;7.3;5.8;0;0.066667;0.02;0.36;0;0.46;0.1
disgust;90;3.9;4.4;0;0.4;0;0.17;0.13;0.1;0.2
fear;90;2.8;5.1;0.12;0.188889;0.33;0;0.29;0;0.07
joy;89;5.9;5.3;0.07;0.1;0.16;0.1;0.1;0.26;0.22
sadness;89;3.9;5.2;0;0.266667;0.03;0.02;0.52;0.02;0.13
surprise;90;5.5;5.9;0;0.133333;0.1;0.17;0.17;0.23;0.2
joy;90;7.5;5.8;0;0;0;0.7;0;0.2;0.1
sadness;90;3.9;5.8;0;0.066667;0.03;0;0.8;0;0.1
joy;91;6.7;4.4;0;0;0.13;0.73;0;0.03;0.1
sadness;91;5.2;4.8;0.07;0;0;0.27;0.33;0.07;0.27
surprise;91;7.5;3.7;0;0.033333;0.07;0.73;0;0.03;0.13
fear;91;3.7;4;0;0.066667;0.17;0;0.23;0;0.53
anger;91;5;5;0;0;0.13;0.43;0.23;0.17;0.03
disgust;91;4.7;4.5;0.06;0.022222;0;0.23;0.09;0.07;0.53
anger;92;2.9;6.4;0.17;0.1;0.2;0;0.4;0.07;0.07
disgust;92;4.5;5.3;0.03;0.333333;0.09;0.12;0.07;0.06;0.3
fear;92;2.7;5;0.19;0;0.66;0;0.06;0.03;0.07
surprise;92;5;5.4;0.02;0.133333;0.1;0.26;0;0.36;0.13
joy;92;7.6;4;0;0;0;0.53;0;0.17;0.3
fear;93;4;5.7;0.03;0.166667;0.42;0.09;0.07;0.02;0.2
sadness;92;2.1;5.3;0.03;0.055556;0.06;0;0.86;0;0
surprise;93;7.1;3.8;0;0;0.1;0.53;0;0.13;0.23
joy;93;7.3;4.7;0;0.066667;0;0.57;0.07;0.13;0.17
anger;93;3.8;5.2;0.23;0.155556;0.46;0;0.16;0;0
disgust;93;3.7;4;0.03;0.366667;0.13;0;0.07;0;0.4
sadness;93;2.1;5.7;0;0.1;0.33;0.1;0.37;0.1;0
anger;94;5.3;5;0.03;0;0.06;0.3;0.19;0.12;0.3
disgust;94;2.8;4.7;0;0.388889;0.26;0.07;0.13;0.02;0.13
disgust;95;5.3;4.1;0;0.233333;0.13;0.22;0.03;0.09;0.29
joy;94;8.1;5.9;0;0;0;0.68;0.02;0.26;0.04
fear;94;3.8;4.4;0;0;0.4;0.03;0.13;0.1;0.33
surprise;94;6;5.4;0.07;0;0.13;0.16;0.1;0.39;0.16
anger;95;5.7;4.9;0.03;0;0.23;0.27;0.3;0.1;0.07
sadness;94;5.6;5.1;0;0;0.17;0.2;0.37;0.03;0.23
fear;95;6.1;3.7;0;0;0.27;0.3;0.13;0.03;0.27
anger;96;5.5;6.1;0.07;0;0.23;0.36;0;0.19;0.16
surprise;95;6.5;4.5;0;0;0.07;0.43;0;0.27;0.23
joy;95;7.9;6.9;0.03;0;0;0.73;0.07;0.03;0.13
joy;96;7.5;7.2;0;0;0.1;0.8;0;0.03;0.07
sadness;95;6.2;6;0;0;0;0.5;0.27;0;0.23
disgust;96;3.9;3.9;0;0.333333;0.07;0.13;0.07;0.1;0.3
fear;96;5.8;6;0;0.066667;0.2;0.19;0;0.36;0.19
surprise;96;6.6;7.2;0;0;0;0.42;0;0.29;0.29
sadness;96;5.5;5.3;0.03;0.1;0;0.1;0.07;0.27;0.43
fear;97;4.6;5;0.07;0.088889;0.09;0.07;0.16;0.23;0.3
sadness;97;4.3;4.8;0.1;0.055556;0.12;0;0.52;0;0.2
joy;97;6.9;5.5;0;0.033333;0.03;0.57;0;0.13;0.23
surprise;97;5.9;6.2;0;0.066667;0.19;0.26;0;0.36;0.13
anger;97;2.2;4.9;0.1;0.155556;0.59;0;0.12;0.03;0
disgust;97;4.1;4.9;0;0.555556;0.12;0.07;0.02;0.1;0.13
anger;98;4.6;4.9;0.03;0.122222;0.19;0.13;0.09;0.17;0.27
disgust;98;2.5;5;0.16;0.277778;0.28;0;0.1;0.03;0.16
fear;98;6.3;6.5;0.03;0.033333;0.02;0.12;0;0.49;0.3
sadness;98;6.2;4.7;0;0;0.07;0.47;0.17;0.07;0.23
disgust;99;2.8;6.1;0;0.211111;0.29;0.09;0;0.14;0.27
surprise;98;6.8;5.4;0;0.033333;0.1;0.52;0;0.16;0.19
sadness;99;3.7;5.5;0;0;0.13;0;0.57;0;0.3
surprise;99;6.1;5.3;0;0;0;0.57;0.13;0.03;0.27
anger;99;5.3;5.1;0;0;0.07;0.3;0.23;0.03;0.37
fear;99;6.2;4.3;0;0;0;0.27;0.2;0.03;0.5
joy;98;7.1;4.4;0;0;0;0.6;0;0.13;0.27
joy;99;7.1;3.8;0;0;0;0.7;0;0.03;0.27
joy;100;7.3;4.6;0;0.033333;0.07;0.6;0;0.1;0.2
disgust;100;2.5;6.4;0.06;0.344444;0.41;0;0.03;0.02;0.13
anger;100;1.5;6.6;0.09;0.394444;0.12;0;0.39;0;0
fear;100;3.1;5.6;0.07;0.266667;0.5;0.07;0.03;0;0.07
disgust;101;2.6;5.3;0.07;0.5;0.1;0;0.1;0.07;0.17
anger;101;6.2;5.4;0.07;0;0.2;0.4;0;0.27;0.07
fear;101;1.2;6.5;0.07;0.311111;0.51;0;0.07;0.04;0
sadness;100;4.5;4.5;0;0;0.1;0.03;0.43;0.03;0.4
surprise;100;5.3;5.1;0.03;0;0.07;0.13;0.13;0.03;0.6
disgust;102;3.2;3.8;0;0.4;0.13;0.07;0.07;0.07;0.27
surprise;101;5.6;5.2;0.13;0.2;0;0.43;0;0.17;0.07
fear;102;3.4;4.6;0;0.066667;0.38;0.17;0.12;0.12;0.15
surprise;102;6.7;2.9;0;0.066667;0;0.3;0.23;0.13;0.27
joy;101;8.3;5.2;0;0;0;0.67;0;0.17;0.17
sadness;101;5.7;5.3;0;0;0;0.29;0.1;0.26;0.36
joy;102;7.3;6.9;0;0;0.07;0.77;0;0.03;0.13
sadness;102;2;4.9;0;0.033333;0.03;0.07;0.87;0;0
anger;102;3.4;5.5;0.13;0;0.6;0;0.07;0;0.2
joy;103;7;6.1;0;0;0.07;0.63;0;0.23;0.07
fear;103;5;5.5;0.07;0.022222;0.39;0.07;0.09;0.2;0.17
surprise;103;7;6;0;0.033333;0.03;0.5;0;0.33;0.1
anger;103;5.3;6;0.03;0.033333;0.07;0.2;0.27;0.27;0.13
anger;104;3.3;4.5;0.24;0.116667;0.44;0;0.21;0;0
sadness;103;3.1;4.2;0.02;0.1;0.16;0;0.72;0;0
disgust;103;3.1;4.2;0.22;0.388889;0.07;0.03;0.09;0.13;0.07
fear;104;5;4.6;0.03;0.033333;0.33;0;0;0;0.6
disgust;104;3.1;5;0;0.4;0.23;0.1;0;0.13;0.13
surprise;104;5;4.4;0;0.033333;0.13;0.36;0.07;0.19;0.22
fear;105;4.3;5;0.07;0.133333;0.46;0.07;0;0.12;0.16
joy;104;5.9;5;0;0.066667;0.08;0.38;0;0.15;0.32
disgust;105;2.7;4.9;0.07;0.5;0.24;0;0.1;0;0.09
surprise;105;6.5;4.6;0;0;0.02;0.47;0.17;0.17;0.17
joy;105;7.3;5.2;0;0;0.02;0.72;0;0.18;0.08
sadness;104;3.6;4.3;0;0.1;0.1;0.07;0.7;0;0.03
sadness;105;5.3;5.1;0;0.133333;0.08;0.12;0.27;0.25;0.15
anger;105;4.8;5.1;0.08;0.066667;0.12;0.07;0.32;0.18;0.17
disgust;106;3.6;4.6;0;0.466667;0.13;0.07;0;0.03;0.3
surprise;106;7.6;6.1;0;0;0;0.63;0;0.27;0.1
anger;106;1.8;3.8;0.04;0.1;0.27;0;0.41;0.05;0.13
anger;107;4.1;4.9;0.3;0.166667;0.13;0.13;0.07;0;0.2
joy;106;6.5;5;0;0;0;0.5;0;0.27;0.23
fear;106;3.6;4.6;0.02;0.05;0.22;0;0.18;0.07;0.47
disgust;107;2.4;4.1;0;0.466667;0.07;0;0.1;0.03;0.33
sadness;106;4;4;0;0.133333;0.1;0;0.5;0;0.27
fear;107;6.3;5;0;0;0.07;0.33;0.1;0.13;0.37
surprise;107;6.2;4.4;0;0;0.07;0.5;0.13;0.23;0.07
joy;107;7;6.3;0;0;0;0.6;0;0.2;0.2
anger;108;2.1;5.6;0.2;0.066667;0.6;0;0.07;0;0.07
disgust;108;3.3;5.1;0.03;0.366667;0.2;0;0.07;0.07;0.27
sadness;107;3.8;5.4;0;0.033333;0.2;0;0.63;0.1;0.03
sadness;108;2.5;4.6;0;0.1;0.13;0;0.73;0;0.03
fear;108;4.8;4.6;0.03;0.033333;0.2;0;0;0;0.73
joy;108;7.9;5.4;0;0;0;0.67;0;0.23;0.1
surprise;108;8.6;6.7;0;0;0;0.63;0;0.3;0.07
disgust;109;5.9;4.4;0.1;0.233333;0.1;0.2;0;0.1;0.27
anger;109;4.2;3.9;0.07;0.066667;0.1;0.03;0.2;0.13;0.4
fear;109;4.1;4.8;0.07;0;0.07;0.03;0.53;0.1;0.2
disgust;110;5.1;4.5;0.09;0.066667;0.09;0.38;0;0.18;0.2
fear;110;2.6;5.4;0.02;0.188889;0.41;0.03;0.18;0.03;0.13
sadness;109;6.1;3.7;0;0.066667;0;0.19;0.29;0.23;0.22
surprise;109;4.3;4.5;0;0.066667;0;0.07;0.13;0;0.73
anger;110;6;4.6;0;0;0.1;0.37;0.1;0.23;0.2
joy;109;7.5;5.2;0;0;0.07;0.7;0;0.1;0.13
disgust;111;3.4;4.3;0.09;0.355556;0.36;0.03;0.03;0;0.13
sadness;110;7;4.1;0;0;0;0.37;0.23;0.2;0.2
joy;110;3.7;4.7;0.13;0.166667;0.03;0.33;0.03;0.2;0.1
sadness;111;2.9;3.8;0.03;0;0;0.03;0.87;0.03;0.03
surprise;110;5.8;5.2;0;0;0.07;0.43;0.03;0.3;0.17
anger;111;5.7;5.1;0;0;0.32;0.22;0.12;0.13;0.2
joy;111;7;6.6;0;0;0;0.7;0.03;0.23;0.03
surprise;111;6.8;5.6;0;0;0.07;0.43;0.1;0.2;0.2
fear;111;2.6;4.8;0.02;0.05;0.68;0.03;0.15;0;0.07
