[emotion];[number];[valence];[arousal];[prob. anger];[prob. disgust];[prob. fear];[prob. joy];[prob. sadness];[prob. surprise];[prob. neutral]
disgust;112;2.7;4.5;0.07;0.383333;0.14;0;0.39;0.02;0
anger;112;6.7;4.1;0;0;0.1;0.43;0.13;0.13;0.2
fear;112;6;5.8;0.09;0.033333;0.46;0.17;0.07;0.12;0.07
disgust;113;2.8;4.5;0.09;0.522222;0.1;0;0;0.02;0.27
fear;113;4.5;4.2;0;0.088889;0.07;0.02;0.17;0.02;0.63
surprise;112;5;5.1;0;0;0.36;0.21;0.13;0.14;0.16
joy;112;7.8;4.4;0;0;0.03;0.6;0.07;0.2;0.1
sadness;112;3.6;3.8;0;0.022222;0.07;0;0.82;0.02;0.07
anger;113;5.1;5.1;0.1;0.066667;0.27;0.13;0.2;0.07;0.17
surprise;113;7.4;6.4;0.03;0;0;0.7;0;0.2;0.07
joy;113;7.4;6.7;0;0;0;0.7;0;0.1;0.2
surprise;114;5.7;5.1;0;0.2;0.03;0.13;0.07;0.1;0.47
disgust;114;1.8;5.2;0.17;0.6;0;0;0.07;0.07;0.1
fear;114;1.6;5.6;0.05;0.083333;0.68;0;0.02;0.1;0.07
joy;114;7.2;7;0;0;0;0.77;0.07;0.07;0.1
sadness;113;5;4.5;0.02;0.022222;0.16;0;0.47;0.13;0.2
anger;114;6.1;7.3;0;0;0.3;0.27;0;0.23;0.2
sadness;114;4.4;3.9;0;0.066667;0.27;0;0.37;0;0.3
fear;115;2.4;4.4;0.1;0.3;0.27;0;0.17;0.03;0.13
anger;115;4.1;5.1;0;0;0.23;0.17;0.07;0.13;0.4
surprise;115;7.5;5.7;0;0;0;0.38;0;0.34;0.28
disgust;115;2.5;5;0.07;0.266667;0.33;0;0.17;0.07;0.1
sadness;115;4.6;5.3;0;0;0.07;0.13;0.33;0.07;0.4
fear;116;4;4.9;0.1;0.1;0.27;0;0.2;0.03;0.3
anger;116;3.8;4.6;0.23;0;0.3;0;0.2;0.07;0.2
joy;115;6.4;4.2;0.07;0.033333;0;0.33;0.07;0.13;0.37
disgust;116;5;4.5;0;0.1;0.07;0.29;0.03;0.19;0.32
anger;117;4.6;5.8;0.07;0.2;0.1;0.13;0.07;0.13;0.3
surprise;116;6;5;0.07;0.066667;0.03;0.27;0;0.33;0.23
joy;116;8.1;5.2;0;0;0;0.6;0;0.2;0.2
disgust;117;6;4.9;0;0.1;0;0.4;0;0.13;0.37
fear;117;5.3;5.1;0;0.066667;0.1;0.29;0.07;0.32;0.16
sadness;116;3.9;4.4;0.02;0.022222;0.2;0;0.29;0.27;0.2
joy;117;8.6;4.4;0;0;0;0.7;0;0.13;0.17
sadness;117;4.7;5.9;0.03;0.066667;0.03;0.17;0.43;0.13;0.13
surprise;117;7.3;4.3;0.03;0;0;0.5;0;0.27;0.2
anger;118;5.9;4.8;0;0.066667;0.2;0.16;0.13;0.16;0.29
fear;118;6.2;5.4;0;0;0.13;0.3;0.2;0.07;0.3
joy;118;6.8;4;0;0;0;0.57;0.13;0.03;0.27
disgust;118;1.6;6.1;0.1;0.288889;0.47;0;0.08;0.07;0
sadness;118;3.8;4.5;0;0.033333;0.33;0.12;0.33;0.09;0.09
fear;119;5.1;5.3;0;0.066667;0.13;0.17;0.2;0.1;0.33
surprise;118;8.1;7.6;0;0;0.07;0.63;0.03;0.23;0.03
anger;119;4.2;6.1;0;0.1;0.4;0.1;0.07;0.1;0.23
disgust;119;2.6;4.9;0.02;0.416667;0.25;0;0.25;0;0.07
fear;120;5.4;6;0;0;0;0.12;0.76;0.07;0.06
joy;119;7.6;5.9;0;0;0;0.42;0.07;0.22;0.29
surprise;119;6.6;5.1;0;0;0.02;0.22;0.06;0.37;0.33
joy;120;7.7;6;0;0;0;0.52;0.03;0.26;0.19
sadness;119;5.1;5.9;0.03;0;0;0.07;0.73;0.07;0.1
sadness;120;6;4.9;0;0;0;0.2;0.37;0;0.43
anger;120;7.1;5.2;0;0;0;0.33;0.13;0.2;0.33
surprise;120;7.6;6.6;0;0;0;0.57;0;0.27;0.17
disgust;120;3.3;5.4;0;0.366667;0.23;0.07;0.07;0.03;0.23
fear;121;2.8;4.6;0.08;0.05;0.28;0;0.58;0;0
disgust;121;2.7;5.1;0.07;0.222222;0.41;0;0.21;0.09;0
fear;122;4.9;4.8;0.03;0.066667;0;0.1;0.07;0.2;0.53
anger;121;2.8;6.1;0.36;0.066667;0.11;0.07;0.38;0.02;0
anger;122;5.4;7.1;0.05;0.05;0.28;0.27;0.02;0.27;0.07
disgust;122;2.3;5.2;0;0.488889;0.16;0;0.29;0.03;0.03
joy;121;8.1;6.4;0;0;0;0.77;0;0.23;0
sadness;121;3;4.6;0.07;0;0.17;0;0.7;0;0.07
surprise;121;7.1;6.4;0;0;0;0.53;0;0.27;0.2
joy;122;7.7;5.3;0;0;0;0.6;0;0.23;0.17
sadness;122;8.2;4.4;0;0;0;0.42;0.03;0.22;0.32
anger;123;6.7;6.8;0.09;0;0.23;0.29;0;0.19;0.2
disgust;123;4.9;4.9;0.03;0.466667;0.17;0.07;0;0.07;0.2
sadness;123;2.1;4;0.06;0.088889;0.03;0;0.76;0;0.07
fear;123;4.4;5.1;0.1;0.1;0.1;0;0.3;0.13;0.27
joy;123;6.7;3.8;0.03;0;0;0.52;0.07;0.16;0.22
surprise;122;7.9;7.6;0.03;0;0;0.5;0;0.33;0.13
surprise;123;7.6;3.9;0;0;0.03;0.22;0.12;0.28;0.35
fear;124;3.6;4.4;0;0;0.4;0.07;0.27;0;0.27
disgust;124;3.6;4.5;0.03;0.333333;0.07;0;0.13;0.03;0.4
surprise;124;6.8;6;0;0;0;0.5;0.07;0.23;0.2
disgust;125;5.5;4.9;0;0.2;0.03;0.13;0;0.1;0.53
anger;124;4.2;5;0.07;0.166667;0.03;0;0.17;0.07;0.5
anger;125;4.9;5.8;0.07;0;0.43;0.03;0.1;0.17;0.2
sadness;124;2.7;4.2;0;0.066667;0.13;0;0.6;0;0.2
joy;124;7.6;5.9;0;0;0;0.43;0;0.3;0.27
fear;125;4.2;5.3;0.13;0.033333;0.17;0;0.17;0.07;0.43
fear;126;4.5;4.7;0;0.066667;0.4;0.06;0.07;0.19;0.22
surprise;125;4.8;4.6;0;0.1;0.17;0.17;0.07;0.03;0.47
surprise;126;5.7;4.9;0;0.033333;0.17;0.19;0.2;0.16;0.26
joy;125;6.1;4.8;0;0.066667;0.07;0.3;0.1;0.17;0.3
joy;126;6.4;6;0;0.066667;0.07;0.49;0;0.22;0.16
sadness;125;3.1;3.7;0;0.066667;0.03;0;0.83;0;0.07
sadness;126;2.7;2.9;0.07;0.1;0.07;0;0.7;0;0.07
anger;126;5.3;4.6;0.07;0.066667;0.1;0.27;0.07;0.07;0.37
disgust;126;2.9;3;0.19;0.488889;0.07;0;0.12;0;0.13
disgust;127;4.2;5.3;0.07;0.3;0;0.07;0.1;0.07;0.4
fear;127;2.3;6.2;0.17;0.022222;0.72;0;0;0.09;0
surprise;127;6;4.8;0;0;0.07;0.23;0;0.23;0.47
anger;127;3.7;5.7;0.4;0.033333;0.13;0;0.17;0.07;0.2
fear;128;5.7;6.5;0.07;0.066667;0.04;0.02;0.02;0.42;0.37
joy;127;7.5;3.5;0;0;0;0.53;0;0.03;0.43
anger;128;2.4;6.3;0.18;0.15;0.38;0;0.13;0.02;0.13
sadness;127;3.4;4.4;0;0;0.13;0;0.63;0.13;0.1
disgust;128;7.1;4.1;0;0;0.07;0.47;0;0.13;0.33
surprise;128;1.8;4.7;0;0.266667;0.3;0.03;0.23;0.13;0.03
disgust;129;2.6;3.8;0.02;0.555556;0.13;0.03;0.09;0.1;0.07
joy;128;7.6;5;0;0;0;0.6;0;0.23;0.17
joy;129;7;5.7;0;0;0;0.73;0;0.2;0.07
anger;129;3.6;5.4;0.47;0.2;0.09;0.02;0.13;0.02;0.07
surprise;129;5.4;5.4;0;0.066667;0.03;0.23;0.23;0.17;0.27
sadness;128;3.3;3.9;0;0.333333;0.02;0.02;0.27;0.02;0.33
sadness;129;2.3;3.9;0.02;0.066667;0.06;0;0.86;0;0
fear;129;3.5;4;0.02;0.066667;0.62;0;0.09;0.07;0.13
sadness;130;6;4.3;0.02;0;0.02;0.29;0.27;0.13;0.27
disgust;130;2.4;4.7;0.23;0.427778;0.16;0;0.04;0.12;0.02
surprise;130;8;6.5;0;0;0.02;0.57;0;0.31;0.11
fear;130;4.1;5.8;0.15;0.15;0.32;0;0;0.18;0.2
anger;130;4.2;4.8;0.1;0.066667;0.23;0.16;0;0.16;0.29
disgust;131;4.6;5.8;0.03;0.222222;0.16;0.07;0.07;0.16;0.3
fear;131;6.3;5.2;0.06;0.133333;0.06;0.26;0;0.17;0.33
anger;131;2.9;5.3;0.3;0.2;0.3;0;0.07;0.07;0.07
joy;130;7.9;4.9;0;0;0;0.63;0;0.23;0.13
joy;131;6.8;5.2;0;0;0;0.4;0;0.37;0.23
joy;132;6;5.8;0;0;0.12;0.56;0;0.26;0.07
disgust;132;2.9;4.3;0.02;0.455556;0.12;0.1;0;0;0.3
sadness;131;3.7;4.4;0.1;0;0.09;0;0.59;0.02;0.2
surprise;131;6.8;5.6;0;0;0;0.39;0;0.42;0.19
fear;132;4.6;5.8;0;0;0.27;0.2;0.07;0.2;0.27
sadness;132;3.9;4.6;0;0;0.03;0.03;0.43;0.17;0.33
surprise;132;6.8;6.3;0;0;0;0.4;0;0.5;0.1
anger;132;4.6;5.4;0.37;0.033333;0.2;0.07;0.07;0.03;0.23
anger;133;5.7;4.9;0.07;0.033333;0.23;0.07;0.13;0.33;0.13
fear;133;2;6.5;0.06;0.211111;0.58;0;0.16;0;0
joy;133;7.3;3.1;0;0;0;0.63;0;0.1;0.27
anger;134;4.3;4.6;0.2;0.133333;0.17;0.27;0.2;0;0.03
disgust;133;3;4.4;0.12;0.522222;0;0.2;0;0;0.16
sadness;133;6.6;3.8;0;0;0;0.43;0;0.23;0.33
surprise;133;6.3;4.8;0;0;0;0.42;0.16;0.36;0.07
fear;134;3.4;4.7;0.04;0.172222;0.24;0.2;0.15;0.13;0.07
disgust;134;2.8;4.6;0.2;0.2;0;0.07;0.13;0.13;0.27
joy;134;6.9;5.2;0;0.066667;0;0.5;0.03;0.27;0.13
fear;135;4;6.6;0;0.022222;0.32;0;0.52;0.1;0.03
sadness;134;3.3;4.7;0;0;0.13;0.07;0.73;0;0.07
surprise;134;6;5.2;0.07;0;0.13;0.23;0.13;0.27;0.17
joy;135;7.9;3.5;0.07;0;0.07;0.7;0;0.1;0.07
sadness;135;3.8;4.8;0;0.033333;0.03;0.2;0.4;0.1;0.23
anger;135;3.7;5.4;0;0;0.49;0.1;0.09;0.1;0.22
surprise;135;7.4;4.5;0;0;0.2;0.5;0.03;0.07;0.2
disgust;135;3.3;5.6;0;0.5;0.07;0;0.2;0.03;0.2
disgust;136;3.4;4.4;0.02;0.35;0.18;0.17;0.08;0.13;0.07
anger;136;1.5;4.7;0.04;0.033333;0.34;0;0.51;0;0.07
fear;136;6.2;5;0;0;0.2;0.32;0.09;0.16;0.23
fear;137;4.8;4.4;0;0.133333;0.37;0;0;0.1;0.4
joy;136;7.9;6.2;0.07;0;0;0.67;0.07;0.13;0.07
sadness;136;2.8;4.3;0;0.133333;0.17;0;0.37;0.13;0.2
surprise;136;7.1;5.7;0;0;0;0.52;0;0.19;0.29
anger;137;7.1;6.2;0;0;0;0.4;0;0.33;0.27
disgust;137;1.9;4.2;0.07;0.566667;0.13;0;0.13;0;0.1
fear;138;1.4;5.5;0.16;0.311111;0.51;0;0.02;0;0
sadness;137;6.2;4.6;0;0;0;0.33;0.27;0.2;0.2
sadness;138;4.9;5.1;0;0;0.07;0;0.47;0.13;0.33
disgust;138;4;5.1;0.03;0.4;0.23;0;0.03;0.2;0.1
joy;137;8.3;6.2;0;0;0;0.7;0;0.3;0
surprise;137;7.9;7.3;0;0;0;0.27;0.03;0.7;0
surprise;138;7.6;5.4;0.07;0;0;0.53;0;0.3;0.1
joy;138;8.3;3.9;0;0;0;0.73;0;0.23;0.03
anger;138;3.5;5.3;0;0;0.1;0;0.77;0.07;0.07
disgust;139;3.3;4.1;0;0.4;0.03;0;0.17;0;0.4
anger;139;2.7;5.6;0.07;0.066667;0.03;0;0.57;0;0.27
fear;139;5.2;5.1;0;0.066667;0.33;0.2;0;0.2;0.2
fear;140;3.3;4.3;0.13;0.266667;0.07;0.07;0.2;0;0.27
surprise;139;5;4.2;0;0.4;0.07;0.13;0.07;0.07;0.27
sadness;139;4.1;4;0;0;0.07;0.07;0.6;0;0.27
joy;139;7.4;4.8;0;0;0;0.63;0;0.3;0.07
anger;140;6;4.7;0;0.133333;0.03;0.2;0;0.2;0.43
disgust;140;2.7;4.8;0;0.566667;0.03;0.03;0.13;0;0.23
sadness;140;5.9;6;0;0;0.03;0.23;0.33;0.2;0.2
surprise;140;6.1;6.5;0;0;0.22;0.16;0;0.49;0.13
anger;141;4.7;5.2;0;0.055556;0.22;0.16;0.18;0.04;0.34
fear;141;2.8;4.8;0.1;0.388889;0.32;0;0.1;0.02;0.07
disgust;141;1.7;4.4;0.27;0.6;0.07;0;0;0;0.07
surprise;141;8.1;5.8;0;0;0;0.51;0;0.24;0.24
sadness;141;7.2;5.5;0;0.033333;0;0.36;0.22;0.19;0.2
joy;140;7.9;6.2;0;0.066667;0;0.5;0;0.33;0.1
joy;141;8.5;6.1;0.03;0;0;0.5;0;0.4;0.07
anger;142;4.9;5.1;0.07;0.066667;0.4;0.17;0.03;0.13;0.13
surprise;142;4.1;4.7;0.03;0.1;0.2;0.13;0.17;0.13;0.23
fear;142;3;4.8;0.13;0.155556;0.36;0.07;0.19;0.03;0.07
sadness;142;3.1;5.1;0.02;0.2;0.19;0.03;0.32;0.1;0.13
disgust;142;2.2;4.6;0.07;0.4;0.07;0.03;0.3;0;0.13
fear;143;6.1;5.3;0;0;0.07;0.2;0.13;0.27;0.33
anger;143;2.7;5.4;0.34;0.088889;0.54;0;0.02;0;0
disgust;143;3.5;4.9;0;0.566667;0;0;0.2;0.07;0.17
joy;142;8.2;7.2;0;0.066667;0;0.56;0;0.22;0.16
sadness;143;6.6;4;0;0.133333;0;0.5;0;0.03;0.33
sadness;144;3.3;3.9;0.03;0;0.17;0;0.73;0.07;0
surprise;143;8.3;7.6;0;0;0;0.8;0;0.2;0
joy;143;7;4.8;0;0.066667;0;0.57;0;0.1;0.27
joy;144;7.2;6.6;0;0;0;0.57;0;0.3;0.13
anger;144;6.3;6.3;0.07;0;0.3;0.37;0.1;0.17;0
disgust;144;2.9;3.8;0;0.233333;0.3;0;0.4;0;0.07
surprise;144;6.7;4.4;0;0;0.13;0.4;0;0.27;0.2
fear;144;6.3;5.7;0.07;0.255556;0.09;0.2;0.03;0.17;0.19
surprise;145;7.1;5;0;0;0;0.57;0.07;0.23;0.13
disgust;145;4.5;4.6;0.1;0.6;0;0.07;0;0;0.23
fear;145;4.7;5.4;0.13;0.255556;0.39;0;0;0.06;0.17
anger;145;5.8;5.7;0.1;0.033333;0.13;0.57;0;0.1;0.07
anger;146;5.3;5.7;0.07;0;0.22;0.19;0.13;0.22;0.17
disgust;146;3.2;5.9;0.04;0.338889;0.34;0;0.13;0;0.16
fear;146;5.6;5.2;0;0.033333;0.03;0.33;0.17;0.1;0.33
joy;145;4.7;4.2;0.02;0.1;0.02;0.26;0.24;0.03;0.32
sadness;145;4.4;4.8;0;0;0.07;0.03;0.67;0;0.23
fear;147;4.7;5;0.07;0.166667;0.36;0.03;0.02;0.13;0.22
sadness;146;5;4;0;0.022222;0.02;0.1;0.59;0.07;0.2
anger;147;5.4;6.2;0.1;0;0.23;0.17;0.1;0.33;0.07
disgust;147;3;5.2;0.07;0.8;0;0;0;0;0.13
joy;146;7.5;5.1;0;0;0;0.63;0;0.23;0.13
surprise;146;7.3;5.8;0.03;0.033333;0.07;0.63;0;0.23;0
surprise;147;7.4;6.2;0;0;0.09;0.32;0.07;0.46;0.07
joy;147;8.1;6.2;0;0;0;0.83;0;0.17;0
sadness;147;3;4.3;0;0.133333;0;0;0.7;0;0.17
anger;148;2.9;4.9;0.12;0.222222;0.36;0.02;0.06;0.07;0.16
disgust;148;3.9;4.9;0.07;0.133333;0.63;0.07;0;0;0.1
anger;149;7.5;7.9;0;0.1;0;0.46;0.1;0.26;0.09
joy;148;8.2;7.5;0;0;0;0.83;0.07;0.1;0
disgust;149;2.2;4.2;0.1;0.666667;0;0;0.03;0;0.2
fear;148;2;5;0.03;0.055556;0.66;0;0.22;0.03;0
fear;149;4.7;5;0;0.1;0.33;0;0.07;0.23;0.27
sadness;148;5.3;4.7;0;0;0;0.3;0.27;0;0.43
surprise;148;7.7;6.5;0;0;0;0.47;0.07;0.17;0.3
sadness;149;5.7;5;0;0.133333;0.1;0.27;0.07;0.37;0.07
anger;150;3.9;5.5;0.07;0;0.63;0.13;0;0.17;0
surprise;149;6.6;4.4;0;0;0;0.73;0.1;0.13;0.03
surprise;150;7.2;5.7;0;0;0.03;0.46;0.02;0.39;0.1
joy;149;8.3;6.6;0;0;0;0.83;0;0.17;0
fear;150;5.1;5.2;0.16;0;0.32;0.1;0.1;0.2;0.12
sadness;150;5.7;5.3;0.03;0.088889;0.13;0.12;0;0.09;0.53
disgust;150;3;3.6;0.17;0.366667;0.03;0;0.23;0;0.2
joy;150;7.8;5.1;0;0;0;0.57;0;0.43;0
joy;151;7.7;5;0;0;0;0.23;0;0.37;0.4
surprise;151;7.9;4.5;0;0;0;0.27;0.13;0.17;0.43
anger;151;4.6;6.5;0.07;0.022222;0.3;0.02;0;0.26;0.33
disgust;151;5.5;5.8;0;0.066667;0.1;0.07;0.03;0.37;0.37
sadness;151;4.9;4.1;0;0.033333;0.03;0;0.53;0.23;0.17
fear;151;3.4;3.8;0.07;0;0.2;0;0.63;0;0.1
anger;152;3.9;5.9;0.16;0;0.2;0.09;0;0.29;0.27
disgust;152;5.6;5.4;0;0.266667;0;0.03;0;0.23;0.47
fear;152;3.2;5.6;0.05;0.038889;0.15;0.06;0.35;0.16;0.2
surprise;152;4.9;4.6;0;0.166667;0;0.12;0.09;0.23;0.39
joy;152;7.4;4.1;0;0;0.02;0.75;0.02;0.15;0.07
disgust;153;3.2;4.3;0.13;0.533333;0;0;0.13;0;0.2
joy;153;7.1;5;0;0;0.03;0.7;0;0.17;0.1
fear;153;5.1;4.7;0;0.066667;0.1;0.17;0.03;0.1;0.53
surprise;153;6.4;5.5;0;0;0.17;0.27;0.13;0.3;0.13
sadness;152;5.5;5.2;0;0.133333;0;0.32;0.29;0.19;0.07
anger;153;5.3;4.7;0;0;0.2;0.23;0;0.3;0.27
sadness;153;3.5;4.1;0.1;0;0.03;0;0.8;0;0.07
surprise;154;7.8;2.7;0;0;0.07;0.4;0;0.27;0.27
anger;154;6.1;4.7;0;0.066667;0.03;0.3;0.07;0.13;0.4
joy;154;7.1;4.4;0;0;0;0.53;0;0.13;0.33
anger;155;3.9;5.1;0.07;0;0.53;0;0.03;0.3;0.07
disgust;154;4.1;4.7;0.03;0.3;0.1;0.07;0.07;0.23;0.2
fear;154;2.6;5.4;0.1;0.066667;0.53;0;0.23;0.07;0
sadness;154;4;4.6;0.07;0.2;0.03;0.13;0.1;0.1;0.37
disgust;155;4.4;4.8;0;0.333333;0;0;0;0.2;0.47
fear;155;6.9;4.5;0;0;0.07;0.23;0;0.3;0.4
sadness;155;6;4.2;0.03;0.066667;0.03;0.37;0.17;0.07;0.27
surprise;155;3.9;5.3;0;0.366667;0.33;0.03;0.1;0;0.17
anger;156;5.8;4.2;0.1;0.033333;0.1;0.3;0;0.2;0.27
surprise;156;6;3.3;0;0.2;0;0.57;0;0.1;0.13
disgust;156;1.8;5.7;0.03;0.722222;0.13;0;0.06;0.02;0.03
sadness;156;3;4.6;0.03;0.066667;0.1;0;0.73;0;0.07
joy;155;7.1;3.9;0;0;0;0.63;0;0.17;0.2
joy;156;5.8;5.5;0;0.033333;0.13;0.2;0;0.03;0.6
fear;156;6.1;5;0.1;0;0.37;0.13;0;0.17;0.23
anger;157;5.6;5.3;0.09;0.066667;0.37;0.14;0;0.24;0.09
disgust;157;4.6;4.8;0;0.333333;0.02;0.09;0.13;0.22;0.2
surprise;157;3;4.4;0.06;0.388889;0;0.03;0.07;0.27;0.19
fear;157;3.1;4.3;0.07;0.133333;0.37;0;0.2;0.07;0.17
sadness;157;3.8;4.5;0.02;0.088889;0.19;0.13;0.5;0;0.07
joy;157;6.3;5.5;0;0;0;0.37;0.07;0.23;0.33
anger;158;6.8;6.7;0.12;0;0.18;0.31;0;0.21;0.18
disgust;158;2.3;4.3;0.09;0.455556;0.07;0;0.06;0.07;0.27
fear;158;4.3;5.2;0.09;0.133333;0.28;0;0.14;0.09;0.27
anger;159;5.5;5.5;0;0;0.16;0.49;0.02;0.1;0.23
disgust;159;2.1;3.9;0.05;0.646667;0.01;0.03;0.18;0;0.08
sadness;158;2.7;4.1;0.09;0.022222;0.17;0;0.72;0;0
surprise;158;6.5;5.4;0.02;0;0.07;0.2;0.02;0.59;0.1
fear;159;4.1;4.6;0.02;0.088889;0.37;0.07;0.12;0.2;0.13
joy;158;6.6;4.4;0;0;0;0.49;0.02;0.26;0.23
surprise;159;7.3;6.8;0;0;0;0.47;0;0.47;0.07
joy;159;7;4.7;0;0;0;0.39;0;0.36;0.26
sadness;159;3.1;3.9;0.04;0.038889;0.18;0;0.67;0;0.07
disgust;160;4;6.3;0;0.333333;0.1;0;0.17;0.17;0.23
joy;160;6.2;3.3;0;0;0;0.43;0;0.07;0.5
anger;160;3.5;4.7;0;0.066667;0.4;0;0.27;0;0.27
fear;160;4.5;5.3;0;0;0.37;0.1;0.17;0.03;0.33
sadness;160;3.2;4.5;0.07;0.022222;0.12;0.07;0.66;0;0.07
fear;161;2.7;4.8;0;0.088889;0.39;0;0.46;0;0.07
surprise;160;7;5.2;0;0;0;0.47;0;0.47;0.07
anger;161;2.1;5.6;0.26;0.033333;0.36;0;0.27;0;0.09
disgust;161;3.8;5.2;0.1;0.433333;0.07;0;0.07;0;0.33
surprise;161;6.8;5;0.07;0;0;0.23;0.07;0.27;0.37
sadness;161;2.5;4.6;0.03;0.033333;0.07;0;0.87;0;0
joy;161;5.7;5.9;0;0;0.22;0.29;0.07;0.36;0.07
joy;162;5.7;5.1;0.07;0.022222;0.09;0.44;0.04;0.16;0.18
sadness;162;4;4.7;0.11;0.055556;0.02;0;0.74;0;0.07
surprise;162;5.4;6.8;0;0;0.13;0.2;0.07;0.3;0.3
fear;162;3.1;4.6;0.08;0.116667;0.62;0;0.08;0.1;0
anger;162;6.5;4.1;0;0;0;0.42;0.07;0.22;0.29
disgust;162;2.8;5.5;0.04;0.172222;0.49;0.07;0.14;0.02;0.07
anger;163;4.1;5.8;0.07;0.033333;0.47;0.03;0.07;0.33;0
surprise;163;7;5.1;0.07;0;0;0.57;0;0.33;0.03
anger;164;3;5.5;0.57;0.066667;0.3;0.03;0.03;0;0
disgust;163;5.2;5.6;0;0.455556;0.07;0.12;0;0.29;0.07
fear;163;5.5;4.5;0.03;0.022222;0.2;0.16;0.1;0.22;0.27
sadness;163;4.4;5.4;0.07;0;0.13;0;0.73;0.07;0
disgust;164;2.2;4.4;0.06;0.533333;0.2;0;0.14;0.04;0.02
fear;164;4.9;4.3;0.03;0.133333;0.5;0.1;0.07;0.03;0.13
joy;163;7.1;5.9;0;0;0;0.57;0.07;0.3;0.07
surprise;164;6.3;5.6;0;0;0.09;0.47;0.02;0.2;0.22
anger;165;3.5;5.8;0.2;0;0.4;0.03;0.23;0;0.13
fear;165;2.9;5.8;0.07;0.066667;0.57;0;0.03;0.13;0.13
joy;164;7.3;5.9;0;0;0.07;0.67;0.03;0.2;0.03
disgust;165;2.7;4.1;0.19;0.433333;0.12;0;0.23;0;0.02
joy;165;7.2;5.9;0.07;0.066667;0;0.69;0.02;0.1;0.06
sadness;164;4.2;4.6;0;0.033333;0.3;0.07;0.23;0.2;0.17
surprise;165;6.1;5.8;0;0;0.07;0.5;0.07;0.23;0.13
sadness;165;4;4.8;0;0;0.1;0.07;0.7;0;0.13
fear;166;2.5;3.5;0.02;0.266667;0.39;0;0.26;0;0.07
anger;166;5.5;5.3;0;0.066667;0.07;0.17;0;0.3;0.4
anger;167;1.7;4.6;0.18;0.266667;0.38;0;0.09;0.02;0.07
disgust;166;2.2;5.1;0.07;0.8;0;0;0.03;0.07;0.03
